workflow,frontend,api,models,scoring,llm,rag,pdf,publication,access,tests,production_status,debt
Assessment public,/bilan-gratuit/assessment,/api/assessments/*,Assessment|DomainScore|SkillScore,BaseScorer deterministic,Ollama llama3.2 three Markdown,None,Assessment export,Status/fields mixed,Public submit then helper,"Unit/routes mocked; real DB pipeline separate",Active code; deployment uncertain,"Fire-and-forget; PII; NSP; bundle solutions; no transaction/idempotence"
Diagnostic Pallier2,/bilan-pallier2-maths,/api/bilan-pallier2-maths*,Diagnostic,score-diagnostic mixed evidence/declarative,Legacy generator,Ollama via Chroma client,Renderer/export paths,Signed share/global fields,Public token/staff,"Extensive diagnostic unit; E2E environment",Active code; runtime uncertain,"Dedicated portal; mixed audiences/data; overwrite"
Bilan generic,Staff APIs and dashboard readers,/api/bilans*,Bilan,Stored aggregate/legacy,Qwen/Ollama free Markdown,Chroma client with client collections,Export,Global isPublished,Role helpers inconsistent,"Mocked CRUD/generate/IDOR",Active code,"P0 assignment; fire-and-forget; not canonical"
StageBilan,Coach and parent stage pages,/api/stages/[stageSlug]/bilans,StageBilan|Bilan,Stage-specific,Stage-specific optional,Optional stage RAG,Parent PDF on demand,Global isPublished,Role/stage checks,"Mocked IDOR and Playwright fixtures",Active code,"Duplicate models; no version/audience review"
EAF preparation,Student questionnaire + coach report,/api/eleve/questionnaire-eaf*|/api/coach/*eaf*,EafPreparationReport|GeneratedPedagogicalReport,Completeness/rules,Mistral structured JSON,None,LaTeX local,Validation/status,Session + coach assignment,"Unit/routes mocked; E2E needs env",Active code,"Specialized lifecycle; no canonical evidence/publication"
Maths spring stage,Student/coach specialized pages,/api/eleve/questionnaire-maths*|/api/coach/maths*,Bilan|GeneratedPedagogicalReport,Specific stage rules,Mistral/legacy generators,Programme RAG routes,LaTeX/local and parent generators,Special flags,Session + assignment,"Unit/routes/E2E fixtures",Active code,"Job trigger inconsistency; duplication"
Generated stage report,Coach GeneratedReportsPanel,/api/coach/students/*/generated-reports*,GeneratedPedagogicalReport,Consumes latest source scores,Mistral JSON Zod,No cited RAG in current path,LaTeX then local private dir,NEEDS_REVIEW but no publication entity,Coach assignment,"63-target suite included route/job mocks",Code active; no prod worker observed,"No claim/lease/retry/DLQ; context latest; local artifact"
NPC copy correction,Coach NPC,/api/npc/*,CopySubmission|AiProcessingJob|PedagogicalReport|CompetenceMatrix,LLM awarded points/structured outputs,Chutes/Ollama/stub,Optional source context,Specialized artifacts,NPC visibility enum,Coach assignment,"Unit/API/E2E require env for full proof",Code active; no prod worker observed,"Retry unclaimable; lease unused; LLM cannot be canonical score"
NSI source prototype,Independent NSI portal,Source repo /api/bilan|evaluations|reports,Attempt|Score|Report|Bilan|EvaluationBilan,Deterministic QCM plus competing flows,Gemini then OpenAI,pgvector,S3/MinIO React-PDF,Student/teacher published,Source auth email,"Source tests not executed",Read-only source,"Two pipelines; PII logs/keys; no parent; monolithic worker"
Maths copy sources,Static portals and correction service,Python/service/static JSON,JSON records,LLM rubric points + human review,Provider in source,RAG instructions,Static/PDF outputs,Static exposure,Name/email matching,"Source tests not executed",Read-only source,"PII files; unsafe matching; LLM scoring"
Canonical target,Integrated dashboards,Future routes only,Ten canonical entities,Versioned deterministic evidence scorer,Structured enrichment only,Versioned cited backend,Private durable artifact,Audience publication + review,Session links/assignments/capabilities,"Unit/property/DB/concurrency/contract/E2E",Not implemented,"Must replace through adapters not parallel platform"
